Token,Average Similarity
νόος,0.05567014655905439
νομίζω,0.0073556046056795655
πυρός,0.04323026704652798
ἀνά,-0.02349861444540762
καιρός,0.02452405522633793
σχῆμα,0.04402166657927988
ἀδελφός,0.06520800584450352
δόξα,0.053381065789766084
ὅτε,-0.01578607109894456
πάθος,0.051653979327914
διαφέρω,-0.005520079733057208
μένω,0.020990627564628515
γένεσις,0.04315637424745482
οἴομαι,-0.04307082640689457
ἀδύνατος,0.0007711340666903716
σός,0.035412880879358864
ἀντί,0.0016102765544682752
αἴτιος,-0.01623317406792731
ὅστις,-0.004878931585420524
μέχρι,-0.02556189506200739
θεῖος,0.07557935844005087
πλῆθος,0.08144127389329
ἕως,-0.018390653940694602
τοσοῦτος,0.027419145533745665
ἕ,0.009961949924609489
πλεῖστος,0.04867320214657806
μείς,0.017517395507668117
χριστός,0.056753530485362594
σύ,-0.030738735592927825
τιμή,0.046587698539105216
φίλος,0.0528428216838958
λευκός,0.04106078607442465
διαφορά,-0.01250848754165458
ὀνομάζω,0.019499698681262466
ἄνω,0.01725374883110543
διό,0.00851301032506886
ἀρετή,0.05429600545415776
ἔοικα,-0.002267313373114349
ζήω,-0.0007272790319031255
ὑμός,0.021181022074443518
ἐμός,0.029002593004623104
πόλεμος,0.07686957153870021
κώμη,0.061287682448042134
κεφαλή,0.07649591712539366
σημαίνω,-0.027753528500372375
αἴσθησις,0.03840634239305028
βίος,0.06725060659053171
οἶνος,0.059120492373168125
ἄρουρα,0.04841140277632749
οὐρανός,0.06377541514121106
μέγεθος,0.0476960505270007
πολλάκις,0.046058682072824486
χάρις,0.04617207855545811
ἀποθνῄσκω,0.012303865709514871
ἕνεκα,-0.04607802345964375
εἴτε,0.0031156713677807477
χώρα,0.05678516583526083
γοῦν,-0.00175082173734588
κόσμος,0.061709912733377344
ἥλιος,0.06549485863769364
οἰκία,0.05731097581648061
δυνατός,-0.007558595402208125
μανθάνω,-0.0050806160919121815
κελεύω,0.0510285886541657
ἐπιστήμη,0.011359596756219571
κύκλος,0.07349019814221569
ἑκάτερος,0.02712302315222993
μόριον,-0.006107744094574273
ἵστημι,0.04428358192632976
εἶτα,0.044949812583357354
πείθω,0.018368818320135413
πέμπω,0.047503790971598105
αἷμα,0.052761820898948736
εἶμι,0.02856826852462566
ἵππος,0.07086938447262993
ναῦς,0.06710747823314656
φωνή,0.0412003361255546
τέσσαρες,0.020201204038922338
θάνατος,0.0703535050045597
οἶκος,0.06807387861133656
παρέχω,0.02797743628001015
πρότασις,0.024894381555817677
ὅρος,0.02451338537837114
μήτε,-0.008464024960563756
ταχύς,0.05220518501191082
γράμμα,0.021124241967850402
ἀναγκαῖος,0.02618668620256468
ζεύς,0.04846906071192136
σημεῖον,0.018319669011512767
κάτω,0.04331368005124292
ἄξιος,-0.0001371100077115216
ἀποδίδωμι,-0.008720570597330248
τέχνη,0.0364220556016363
διδάσκω,0.02011632612765043
ἀλήθεια,0.06834487633743562
ἔθνος,0.08229998040925625
τροφή,0.04647415459799083
ἤτοι,0.017980890891606212
σάρξ,0.03933941350996957
ἐνδέχομαι,-0.034040775704387266
ἑξῆς,0.02212840359818916
σαφής,-0.029840018580678754
θάλασσα,0.0855145376475982
ἀλέξανδρος,0.05504608784945553
ὀρθός,-0.003688919724710064
πίστις,0.0685166001694865
σφεῖς,0.08298757328756773
τάλαντον,0.04320207374025055
ἀναιρέω,0.05280841332573905
ἀήρ,0.05048360847756507
προστίθημι,-0.0019020605701844573
κατηγορέω,-0.01787026955181853
πιστεύω,0.020762321471089834
νοέω,-0.0042214321581124006
προαγορεύω,0.03964854852014712
ἐλάσσων,0.017992908886202988
ἀξιόω,0.005936700235490524
ἡδονή,0.06689386986465554
φυσικός,0.03298751637969801
συλλογισμός,0.025306242094857902
καρδία,0.05626338062890191
χωρίς,-0.02317605920692369
αἱρέω,0.022919142695112027
διότι,-0.03031929992365441
ἐκεῖ,-0.0159263933332837
ἀργύριον,0.03571774911195179
ἐφίστημι,-0.005312150603059735
ἄνευ,-0.02419425596447936
ὁδός,0.05712111969793168
ἅγιος,0.04842927481321342
κρατέω,0.02842333900582429
δέχομαι,0.02564573185113182
φύω,0.036698164868820535
σῖτος,0.05770392807294451
συνάγω,0.061719228323281056
ἥσσων,0.002158707115572737
κρίνω,-0.003822020001084551
συνεχής,0.06172855493615974
