47001001013|ἐκκλησίᾳ|47001001001|IO|id="n47001001013"|ref="2CO 1:1!13"|Cat="noun"|Start="12"|End="12"|StrongNumber="1577"|UnicodeLemma="ἐκκλησία"|Gender="Feminine"|Number="Singular"|FunctionalTag="N-DSF"|Type="Common"|morphId="47001001013"|NormalizedForm="ἐκκλησίᾳ"|Case="Dative"|Unicode="ἐκκλησίᾳ"|FormalTag="N-DSF"|nodeId="470010010130010"|Gloss="church"|LexDomain="011002"|LN="11.32"
47001001014|τοῦ|47001001015|det|id="n47001001014"|ref="2CO 1:1!14"|Cat="det"|Start="13"|End="13"|StrongNumber="3588"|UnicodeLemma="ὁ"|Gender="Masculine"|Number="Singular"|FunctionalTag="T-GSM"|Type=""|morphId="47001001014"|NormalizedForm="τοῦ"|Case="Genitive"|Unicode="τοῦ"|FormalTag="T-GSM"|nodeId="470010010140010"|Gloss="-"|LexDomain="092004"|LN="92.24"
47001001015|Θεοῦ|47001001013|np|id="n47001001015"|ref="2CO 1:1!15"|Cat="noun"|Start="14"|End="14"|StrongNumber="2316"|UnicodeLemma="θεός"|Gender="Masculine"|Number="Singular"|FunctionalTag="N-GSM"|Type="Common"|morphId="47001001015"|NormalizedForm="Θεοῦ"|Case="Genitive"|Unicode="Θεοῦ"|FormalTag="N-GSM"|nodeId="470010010150010"|Gloss="of God"|LexDomain="012001"|LN="12.1"
47001001016|τῇ|47001001019|det|id="n47001001016"|ref="2CO 1:1!16"|Cat="det"|Start="15"|End="15"|StrongNumber="3588"|UnicodeLemma="ὁ"|Gender="Feminine"|Number="Singular"|FunctionalTag="T-DSF"|Type=""|morphId="47001001016"|NormalizedForm="τῇ"|Case="Dative"|Unicode="τῇ"|FormalTag="T-DSF"|nodeId="470010010160010"|Gloss="-"|LexDomain="092004"|LN="92.24"
47001001017|οὔσῃ|47001001019|VC|id="n47001001017"|ref="2CO 1:1!17"|Cat="verb"|Start="16"|End="16"|StrongNumber="1510"|UnicodeLemma="εἰμί"|Gender="Feminine"|Mood="Participle"|Tense="Present"|Number="Singular"|FunctionalTag="V-PAP-DSF"|Type=""|morphId="47001001017"|NormalizedForm="οὔσῃ"|Case="Dative"|Unicode="οὔσῃ"|FormalTag="V-PAP-DSF"|Voice="Active"|nodeId="470010010170010"|Gloss="being"|SubjRef="n47001001013"|LexDomain="085001"|LN="85.1"
47001001018|ἐν|47001001019|prep|id="n47001001018"|ref="2CO 1:1!18"|Cat="prep"|Start="17"|End="17"|StrongNumber="1722"|UnicodeLemma="ἐν"|FunctionalTag="PREP"|Type=""|morphId="47001001018"|NormalizedForm="ἐν"|Unicode="ἐν"|FormalTag="PREP"|nodeId="470010010180010"|Gloss="in"|LexDomain="083003"|LN="83.13"
47001001019|Κορίνθῳ|47001001013|np|id="n47001001019"|ref="2CO 1:1!19"|Cat="noun"|Start="18"|End="18"|StrongNumber="2882"|UnicodeLemma="Κόρινθος"|Gender="Feminine"|Number="Singular"|FunctionalTag="N-DSF"|Type="Proper"|morphId="47001001019"|NormalizedForm="Κορίνθῳ"|Case="Dative"|Unicode="Κορίνθῳ"|FormalTag="N-DSF"|nodeId="470010010190010"|Gloss="Corinth"|LexDomain="093002"|LN="93.506"
47001001020|σὺν|47001001022|prep|id="n47001001020"|ref="2CO 1:1!20"|Cat="prep"|Start="19"|End="19"|StrongNumber="4862"|UnicodeLemma="σύν"|FunctionalTag="PREP"|Type=""|morphId="47001001020"|NormalizedForm="σύν"|Unicode="σὺν"|FormalTag="PREP"|nodeId="470010010200010"|Gloss="with"|LexDomain="089020"|LN="89.107"
47001001021|τοῖς|47001001022|det|id="n47001001021"|ref="2CO 1:1!21"|Cat="det"|Start="20"|End="20"|StrongNumber="3588"|UnicodeLemma="ὁ"|Gender="Masculine"|Number="Plural"|FunctionalTag="T-DPM"|Type=""|morphId="47001001021"|NormalizedForm="τοῖς"|Case="Dative"|Unicode="τοῖς"|FormalTag="T-DPM"|nodeId="470010010210010"|Gloss="the"|LexDomain="092004"|LN="92.24"
47001001022|ἁγίοις|47001001001|ADV|id="n47001001022"|ref="2CO 1:1!22"|Cat="adj"|Start="21"|End="21"|StrongNumber="40"|UnicodeLemma="ἅγιος"|Gender="Masculine"|Number="Plural"|FunctionalTag="A-DPM"|Type=""|morphId="47001001022"|NormalizedForm="ἁγίοις"|Case="Dative"|Unicode="ἁγίοις"|FormalTag="A-DPM"|nodeId="470010010220010"|Gloss="saints"|LexDomain="011002"|LN="11.27"
